"Flights (All Carriers - New York, NY: John F. Kennedy International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"7,021","3,674","10,695"
2002,11,"6,717","3,439","10,156"
2002,12,"6,980","3,642","10,622"
2002,TOTAL,"78,054","42,798","120,852"
2003,1,"6,896","3,632","10,528"
2003,2,"5,919","3,001","8,920"
2003,3,"7,113","3,455","10,568"
2003,4,"6,765","3,014","9,779"
2003,5,"6,124","3,172","9,296"
2003,6,"6,181","3,577","9,758"
2003,7,"6,532","4,044","10,576"
2003,8,"6,422","3,942","10,364"
2003,9,"6,230","3,545","9,775"
2003,10,"6,613","3,493","10,106"
2003,11,"6,455","3,304","9,759"
2003,12,"6,773","3,505","10,278"
2003,TOTAL,"78,023","41,684","119,707"
2004,1,"6,900","3,517","10,417"
2004,2,"6,708","3,266","9,974"
2004,3,"7,279","3,518","10,797"
2004,4,"7,471","3,654","11,125"
2004,5,"7,534","3,764","11,298"
2004,6,"7,765","4,024","11,789"
2004,7,"8,403","4,673","13,076"
2004,8,"8,949","4,681","13,630"
2004,9,"7,966","4,072","12,038"
2004,10,"8,484","3,953","12,437"
2004,11,"8,190","3,785","11,975"
2004,12,"8,426","4,124","12,550"
2004,TOTAL,"94,075","47,031","141,106"
2005,1,"7,991","4,043","12,034"
2005,2,"7,653","3,597","11,250"
2005,3,"8,756","4,056","12,812"
2005,4,"8,702","4,027","12,729"
2005,5,"9,016","4,294","13,310"
2005,6,"8,921","4,301","13,222"
2005,7,"9,495","4,783","14,278"
2005,8,"9,552","4,768","14,320"
2005,9,"8,683","4,320","13,003"
2005,10,"8,941","4,302","13,243"
2005,11,"8,864","4,000","12,864"
2005,12,"8,663","4,292","12,955"
2005,TOTAL,"105,237","50,783","156,020"
2006,1,"8,492","4,214","12,706"
2006,2,"7,475","3,710","11,185"
2006,3,"8,908","4,356","13,264"
2006,4,"8,841","4,377","13,218"
2006,5,"8,696","4,656","13,352"
2006,6,"8,900","4,861","13,761"
2006,7,"10,098","5,344","15,442"
2006,8,"10,723","5,336","16,059"
2006,9,"10,533","5,095","15,628"
2006,10,"11,443","4,847","16,290"
2006,11,"11,252","4,589","15,841"
2006,12,"11,655","4,943","16,598"
2006,TOTAL,"117,016","56,328","173,344"
2007,1,"11,765","4,925","16,690"
2007,2,"9,876","4,306","14,182"
2007,3,"12,171","5,047","17,218"
2007,4,"11,929","5,041","16,970"
2007,5,"12,258","5,308","17,566"
2007,6,"11,632","5,603","17,235"
2007,7,"12,208","5,995","18,203"
2007,8,"12,532","6,030","18,562"
2007,9,"11,949","5,427","17,376"
2007,10,"12,114","5,268","17,382"
2007,11,"11,842","5,152","16,994"
2007,12,"11,674","5,479","17,153"
2007,TOTAL,"141,950","63,581","205,531"
2008,1,"11,277","5,139","16,416"
2008,2,"10,495","5,015","15,510"
2008,3,"11,712","5,453","17,165"
2008,4,"11,529","5,501","17,030"
2008,5,"11,566","5,722","17,288"
2008,6,"11,720","5,932","17,652"
2008,7,"12,233","6,402","18,635"
2008,8,"12,200","6,512","18,712"
2008,9,"11,125","5,425","16,550"
2008,10,"11,478","5,449","16,927"
2008,11,"10,981","5,228","16,209"
2008,12,"11,264","5,636","16,900"
2008,TOTAL,"137,580","67,414","204,994"
2009,1,"10,985","5,435","16,420"
2009,2,"10,282","4,809","15,091"
2009,3,"11,294","5,393","16,687"
2009,4,"11,079","5,283","16,362"
2009,5,"11,692","5,511","17,203"
2009,6,"11,530","5,775","17,305"
2009,7,"11,899","6,361","18,260"
2009,8,"11,881","6,262","18,143"
2009,9,"10,002","5,404","15,406"
2009,10,"10,147","5,246","15,393"
2009,11,"9,863","4,996","14,859"
2009,12,"10,008","5,303","15,311"
2009,TOTAL,"130,662","65,778","196,440"
2010,1,"9,973","5,241","15,214"
2010,2,"8,536","4,534","13,070"
2010,3,"10,199","5,228","15,427"
2010,4,"9,852","4,966","14,818"
2010,5,"9,936","5,688","15,624"
2010,6,"9,871","5,977","15,848"
2010,7,"10,645","6,618","17,263"
2010,8,"10,734","6,460","17,194"
2010,9,"9,802","5,534","15,336"
2010,10,"10,307","5,524","15,831"
2010,11,"10,048","5,177","15,225"
2010,12,"9,572","5,364","14,936"
2010,TOTAL,"119,475","66,311","185,786"
2011,1,"9,337","5,329","14,666"
2011,2,"8,820","4,845","13,665"
2011,3,"10,653","5,616","16,269"
2011,4,"10,348","5,583","15,931"
2011,5,"10,676","5,715","16,391"
2011,6,"10,643","6,057","16,700"
2011,7,"11,364","6,778","18,142"
2011,8,"10,328","6,290","16,618"
2011,9,"10,289","5,710","15,999"
2011,10,"10,348","5,588","15,936"
2011,11,"9,872","5,197","15,069"
2011,12,"9,985","5,602","15,587"
2011,TOTAL,"122,663","68,310","190,973"
2012,1,"9,692","5,337","15,029"
2012,2,"9,064","4,965","14,029"
2012,3,"10,430","5,672","16,102"
2012,4,"9,837","5,587","15,424"
2012,5,"9,892","5,790","15,682"
2012,6,"10,159","6,236","16,395"
2012,7,"10,573","6,895","17,468"
2012,8,"10,572","6,878","17,450"
2012,9,"9,820","5,952","15,772"
2012,10,"9,193","5,338","14,531"
2012,11,"9,398","5,507","14,905"
2012,12,"9,796","5,987","15,783"
2012,TOTAL,"118,426","70,144","188,570"
2013,1,"9,465","5,811","15,276"
2013,2,"8,359","5,061","13,420"
2013,3,"9,916","5,951","15,867"
2013,4,"9,519","5,819","15,338"
2013,5,"9,935","6,091","16,026"
2013,6,"9,967","6,471","16,438"
2013,7,"10,656","7,231","17,887"
2013,8,"10,772","7,265","18,037"
2013,9,"9,548","6,148","15,696"
2013,10,"9,859","6,129","15,988"
2013,11,"9,325","5,747","15,072"
2013,12,"9,547","6,333","15,880"
2013,TOTAL,"116,868","74,057","190,925"
2014,1,"8,380","5,893","14,273"
2014,2,"7,959","5,163","13,122"
2014,3,"9,853","6,202","16,055"
2014,4,"10,322","6,402","16,724"
2014,5,"10,619","6,750","17,369"
2014,6,"10,739","7,180","17,919"
2014,7,"11,011","7,774","18,785"
2014,8,"11,409","7,934","19,343"
2014,9,"10,045","6,613","16,658"
2014,10,"10,494","6,581","17,075"
2014,11,"9,757","5,976","15,733"
2014,12,"10,337","6,623","16,960"
2014,TOTAL,"120,925","79,091","200,016"
2015,1,"9,495","6,189","15,684"
2015,2,"8,566","5,482","14,048"
2015,3,"9,966","6,274","16,240"
2015,4,"10,320","6,734","17,054"
2015,5,"10,820","7,163","17,983"
2015,6,"10,769","7,435","18,204"
2015,7,"11,296","8,218","19,514"
2015,8,"11,410","8,218","19,628"
2015,9,"10,174","7,040","17,214"
2015,10,"10,621","6,909","17,530"
2015,11,"10,043","6,319","16,362"
2015,12,"10,568","7,060","17,628"
2015,TOTAL,"124,048","83,041","207,089"
2016,1,"9,724","6,501","16,225"
2016,2,"9,684","6,192","15,876"
2016,3,"10,926","6,828","17,754"
2016,4,"10,727","6,962","17,689"
2016,5,"11,061","7,430","18,491"
2016,6,"11,039","7,747","18,786"
2016,7,"11,067","8,370","19,437"
2016,8,"11,162","8,370","19,532"
2016,9,"10,225","7,216","17,441"
2016,10,"10,456","7,075","17,531"
2016,11,"9,965","6,357","16,322"
2016,12,"10,442","7,078","17,520"
2016,TOTAL,"126,478","86,126","212,604"
2017,1,"10,219","6,707","16,926"
2017,2,"9,190","5,791","14,981"
2017,3,"10,504","6,692","17,196"
2017,4,"10,268","7,122","17,390"
2017,5,"10,387","7,387","17,774"
2017,6,"10,829","7,842","18,671"
2017,7,"11,069","8,437","19,506"
2017,8,"11,168","8,564","19,732"
2017,9,"9,866","7,220","17,086"
2017,10,"10,222","6,987","17,209"
2017,11,"9,971","6,284","16,255"
2017,12,"10,370","7,053","17,423"
2017,TOTAL,"124,063","86,086","210,149"
2018,1,"9,561","6,452","16,013"
2018,2,"9,355","5,963","15,318"
2018,3,"10,189","6,685","16,874"
2018,4,"10,718","6,952","17,670"
2018,5,"11,250","7,326","18,576"
2018,6,"11,341","7,626","18,967"
2018,7,"11,530","8,200","19,730"
2018,8,"11,511","8,212","19,723"
2018,9,"10,812","7,388","18,200"
2018,10,"11,111","7,179","18,290"
2018,11,"10,345","6,575","16,920"
2018,12,"10,858","7,201","18,059"
2018,TOTAL,"128,581","85,759","214,340"
2019,1,"10,427","6,943","17,370"
2019,2,"9,507","6,157","15,664"
2019,3,"11,227","7,140","18,367"
2019,4,"10,487","7,430","17,917"
2019,5,"10,886","7,525","18,411"
2019,6,"10,680","7,701","18,381"
2019,7,"10,768","8,203","18,971"
2019,8,"10,958","8,239","19,197"
2019,9,"10,268","7,066","17,334"
2019,10,"10,588","6,872","17,460"
2019,11,"10,084","6,249","16,333"
2019,12,"10,574","6,861","17,435"
2019,TOTAL,"126,454","86,386","212,840"
2020,1,"10,433","6,682","17,115"
2020,2,"9,883","5,889","15,772"
2020,3,"9,043","4,208","13,251"
2020,4,"1,407",412,"1,819"
2020,5,936,348,"1,284"
2020,6,"1,923",596,"2,519"
2020,7,"3,266","1,753","5,019"
2020,8,"3,402","2,121","5,523"
2020,9,"3,086","1,909","4,995"
2020,10,"3,592","2,246","5,838"
2020,11,"3,695","2,269","5,964"
2020,12,"3,649","2,920","6,569"
2020,TOTAL,"54,315","31,353","85,668"
2021,1,"3,284","2,981","6,265"
2021,2,"3,074","2,282","5,356"
2021,3,"4,615","2,871","7,486"
2021,4,"5,371","3,089","8,460"
2021,5,"6,702","3,592","10,294"
2021,6,"7,646","4,223","11,869"
2021,7,"8,141","4,666","12,807"
2021,8,"8,068","4,835","12,903"
2021,9,"7,453","4,421","11,874"
2021,10,"7,857","4,338","12,195"
2021,11,"10,120","4,538","14,658"
2021,12,"9,878","5,326","15,204"
2021,TOTAL,"82,209","47,162","129,371"
2022,1,"10,008","5,000","15,008"
2022,2,"10,012","4,526","14,538"
2022,3,"11,332","5,273","16,605"
2022,4,"10,795","5,769","16,564"
2022,5,"11,363","6,097","17,460"
2022,6,"10,819","6,393","17,212"
2022,7,"11,548","6,873","18,421"
2022,8,"11,421","6,965","18,386"
2022,9,"11,413","6,176","17,589"
2022,10,"11,750","6,130","17,880"
2022,11,"11,330","5,935","17,265"
2022,12,"10,760","6,518","17,278"
2022,TOTAL,"132,551","71,655","204,206"
2023,1,"10,910","6,432","17,342"
2023,2,"10,493","5,681","16,174"
2023,3,"12,069","6,831","18,900"
2023,4,"11,409","7,086","18,495"
2023,5,"11,858","7,294","19,152"
2023,6,"10,609","7,699","18,308"
2023,7,"10,377","8,218","18,595"
2023,8,"11,035","8,381","19,416"
2023,9,"10,277","7,471","17,748"
2023,10,"11,010","7,465","18,475"
2023,11,"10,602","6,917","17,519"
2023,12,"10,485","7,689","18,174"
2023,TOTAL,"131,134","87,164","218,298"
2024,1,"9,255","7,118","16,373"
2024,2,"9,167","6,498","15,665"
2024,3,"10,157","7,391","17,548"
2024,4,"10,150","7,665","17,815"
2024,5,"10,627","7,793","18,420"
2024,6,"10,199","8,365","18,564"
2024,7,"10,559","8,888","19,447"
2024,8,"10,256","8,885","19,141"
2024,9,"10,430","7,643","18,073"
2024,10,"10,785","7,448","18,233"
2024,11,"10,260","6,384","16,644"
2024,TOTAL,"111,845","84,078","195,923"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
